Gene	Gene
ABCG8	CM
ASPA	CM
FOXP2	CM
F12	CM
CYP17A1	CM
CST3	CM
DLD	CM
COL10A1	CM
PRKAG2	CM
TNFRSF11A	CM
ARSB	CM
PAX2	CM
TNFRSF11B	CM
SOX9	CM
COL6A3	CM
COL18A1	CM
CD40	CM
RYR2	CM
TP73L,TP63	CM
CLN3	CM
APOE	CM
SACS	CM
TNFRSF1A	CM
PYGL	CM
GRHL2	CM
TAP2	CM
TSC1	CM
SLC7A9	CM
ADA	CM
SFTPD,SPD	CM
MC4R	CM
BRCA2	CM
MHC2TA,CIITA	CM
RAG1	CM
HOXD10	CM
CTH	CM
CRB1	CM
CYP1A2	CM
IGF1R	CM
C3	CM
ABCC2	CM
ACE	CM
TNNI2	CM
CDH23	CM
DNAH11	CM
KIF5A	CM
PKHD1	CM
NOTCH2	CM
C2	CM
GLI3	CM
CHEK2	CM
DDC	CM
HNF4A	CM
COL5A1	CM
C5	CM
OPTN	CM
ARHGEF10	CM
EGR2	CM
FUT1	CM
CDKN2A	CM
EVC	CM
LDLR	CM
KRT5	CM
SNCA	CM
PSAP	CM
COL1A1	CM
ANTXR2	CM
LAMA2	CM
SAG	CM
LAMB1	CM
ALDH4A1	CM
LAMC2	CM
STAT1	CM
MCCC1	CM
TGFB1	CM
EIF2AK3	CM
FGF23	CM
ABCA1	CM
OCA2	CM
RNASEL	CM
KIT	CM
TIMP3	CM
PCK1	CM
CYP21A2	CM
SLC22A5	CM
SUOX	CM
CTDP1	CM
FGFR3	CM
MAPT	CM
SLC25A15	CM
BCHE	CM
KCNE3	CM
GALC	CM
KCNE2	CM
CYP2A6	CM
FGFR2	CM
APOB	CM
SUMF1	CM
VDR	CM
SGCG	CM
SHH	CM
AMPD1	CM
LRRK2	CM
GGCX	CM
KIF1B	CM
ZFPM2	CM
IRF6	CM
ATP8B1	CM
UMOD	CM
PTPN11	CM
PTEN	CM
APOA1	CM
NOG	CM
GCH1	CM
NAT2	CM
TP53	CM
XPA	CM
SPTLC1	CM
GATA3	CM
F5	CM
GHR	CM
C4A	CM
ADAMTS2	CM
PAX9	CM
EFEMP1	CM
INSR	CM
PC	CM
TBXAS1	CM
TNXB	CM
PARK2	CM
LCAT	CM
NKX2-5	CM
APOA5	CM
TH	CM
DPYD	CM
PRPF3	CM
GLB1	CM
ADAR	CM
MTHFR	CM
GABRG2	CM
CDSN	CM
ROR2	CM
KCNQ1	CM
WFS1	CM
CACNA1C	CM
CSF2RB	CM
IFNGR2	CM
ATM	CM
LIPA	CM
TITF1,NKX2-1	CM
DSG1	CM
BTD	CM
TGFBR2	CM
NGFB,NGF	CM
RAG2	CM
GBA	CM
PCBD1	CM
PVR	CM
SLC26A3	CM
TBX5	CM
THRB	CM
AFP	CM
CPS1	CM
CTSK	CM
TCN2	CM
BBS1	CM
ALDH2	CM
ELOVL4	CM
TBX3	CM
TAS2R38	CM
MERTK	CM
COL2A1	CM
AIRE	CM
TYR	CM
PITX2	CM
SGCD	CM
BRIP1	CM
LPA	CM
CARD15,NOD2	CM
CHRNA4	CM
PPARG	CM
HOXA13	CM
PAX3	CM
SCO2	CM
CASP10	CM
FBN1	CM
IL12B	CM
EPB41	CM
ANK1	CM
GPX1	CM
CYP27B1	CM
STK11	CM
PEPD	CM
DNMT3B	CM
WNK1	CM
PARK7	CM
COL11A1	CM
TAP1	CM
POMC	CM
FOXE1	CM
KCNJ11	CM
SOD1	CM
CFH	CM
GFI1	MNC
CLN5	MNC
PPT1	MNC
PKD1	MNC
KCNQ3	MNC
GBE1	MNC
ITGB4	MNC
VAPB	MNC
PMM2	MNC
CHRNB1	MNC
EYA4	MNC
SLC25A13	MNC
NR3C1	MNC
NDUFS2	MNC
TAPBP	MNC
HBG1	MNC
SLC5A2	MNC
HAL	MNC
CNGB3	MNC
CD4	MNC
RBP4	MNC
TTR	MNC
VPS33B	MNC
TAT	MNC
CPOX	MNC
MSX1	MNC
PEX5	MNC
FLT4	MNC
ASPM	MNC
CD151	MNC
FOXC2	MNC
DBH	MNC
PROP1	MNC
AHCY	MNC
TF	MNC
CASQ2	MNC
FOXN1	MNC
SLC35C1	MNC
FANCG	MNC
APTX	MNC
LEP	MNC
ATCAY	MNC
ENG	MNC
MYH9	MNC
ABCC9	MNC
DDB2	MNC
SLC19A2	MNC
BSCL2	MNC
COCH	MNC
BCKDHA	MNC
NEU1	MNC
VWF	MNC
SH3TC2	MNC
TRPM6	MNC
RLBP1	MNC
PFKM	MNC
HTRA2	MNC
BAAT	MNC
CP	MNC
HFE	MNC
NDUFS1	MNC
ABAT	MNC
PLG	MNC
HBA1	MNC
CYP1B1	MNC
GJB6	MNC
AGA	MNC
MEN1	MNC
ASAH1	MNC
AMN	MNC
APOC2	MNC
PLN	MNC
PKLR	MNC
ALX4	MNC
GLUD1	MNC
EFHC1	MNC
MYO15A	MNC
KRT13	MNC
SFTPC	MNC
ZAP70	MNC
POR	MNC
MKKS	MNC
CASR	MNC
SLC7A7	MNC
ALS2	MNC
CRLF1	MNC
WISP3	MNC
ENPP1	MNC
KRT3	MNC
CAPN3	MNC
MGAT2	MNC
GP9	MNC
CHRND	MNC
CLN8	MNC
HPS6	MNC
SLC25A20	MNC
PRF1	MNC
DES	MNC
RHO	MNC
LRP5	MNC
FGA	MNC
SPTB	MNC
SCN1A	MNC
FGG	MNC
PRX	MNC
CTSD	MNC
KRT6A	MNC
NAGA	MNC
TJP2	MNC
DPM1	MNC
NEB	MNC
FANCC	MNC
LGI1	MNC
SI	MNC
FMO3	MNC
COL6A2	MNC
QDPR	MNC
FBLN5	MNC
CACNA1A	MNC
C6	MNC
EPM2A	MNC
LMNA	MNC
AUH	MNC
KRT16	MNC
GJB4	MNC
AMACR	MNC
LPL	MNC
COL9A2	MNC
NTRK1	MNC
NCF1	MNC
SCNN1G	MNC
ATP7B	MNC
IVD	MNC
KRT1	MNC
ABCG5	MNC
SCN4A	MNC
PYGM	MNC
PSTPIP1	MNC
ALDOB	MNC
CYP11B2	MNC
GJA1	MNC
MFN2	MNC
UROS	MNC
NPR2	MNC
ENO3	MNC
MCCC2	MNC
EDNRB	MNC
PHOX2B	MNC
TBX19	MNC
SURF1	MNC
MYLK2	MNC
LHCGR	MNC
KHK	MNC
EXT1	MNC
CSTB	MNC
WNK4	MNC
PKD2	MNC
RP9	MNC
SERPINI1	MNC
LIFR	MNC
FANCD2	MNC
EDARADD	MNC
C1R	MNC
CHST6	MNC
HLCS	MNC
SLC2A1	MNC
ALOX12B	MNC
MPO	MNC
IL12RB1	MNC
ACADS	MNC
CYP11B1	MNC
MYOC	MNC
BBS2	MNC
CTSC	MNC
PON1	MNC
TOR1A	MNC
PANK2	MNC
CLCN1	MNC
