HNRNPCL1	1	46	12830.315	1.274	107.69	0.43	0.3363
PRAMEF2	1	127	12842.878	2.943	108.3	0.78	0.2655
PRAMEF17	1	13	13590.457	2.365	111.76	0.81	0.3404
MINOS1	1	7	19809.385	26.717	163.56	8.79	0.329
SDC3	1	9	31121.397	5.837	275.7	4.24	0.727
KCNQ4	1	18	41066.2	21.387	363.09	6.03	0.2817
PGM1	1	16	63882.829	30.397	585.2	9.11	0.2999
CLCA3P	1	6	86873.401	1.807	757.16	1.5	0.8301
DENND2D	1	14	111537.635	10.421	922.14	3.69	0.354
CTTNBP2NL	1	6	112797.234	8.025	938.23	3.02	0.3767
NBPF7	1	14	120184.55	8.698	1015.05	3.61	0.4147
PDE4DIP	1	58	143676.601	221.359	1163.93	72.65	0.3282
RPTN	1	10	150395.556	2.953	1240.46	1.53	0.5197
OR6N1	1	11	157002.68	0.922	1298.45	2.73	2.9618
OR6N2	1	7	157013.545	1.17	1300.13	0.64	0.543
XCL2	1	22	166778.358	3.224	1413.51	0.74	0.2298
AVPR1B	1	11	204394.431	6.791	1691.29	6.4	0.943
C1orf186	1	11	204406.366	1.056	1698.05	1.26	1.1906
IL10	1	7	205011.141	2.441	1767.44	3.33	1.3632
CAMK1G	1	22	207843.802	17.797	1808.74	4.89	0.2747
FAM71A	1	6	210866.086	0.972	1834.23	0.67	0.6877
PTPN14	1	57	212685.546	175.369	1873.26	57.36	0.3271
HNRNPU	1	6	243089.557	8.829	2168.49	3	0.3398
OR13G1	1	8	245902.546	1.142	2194.22	0.48	0.4163
OR14A16	1	7	246045.16	0.917	2194.73	0.22	0.2429
OR2T8	1	22	246151.438	1.187	2196.68	0.32	0.2735
OR2T33	1	14	246503.456	0.754	2198.83	0.32	0.4249
RRM2	2	7	10183.734	5.433	94.26	3.21	0.5909
CD207	2	17	70913.982	4.581	570.7	3.32	0.7252
GNLY	2	11	85777.129	4.459	665.86	6.37	1.4281
ANKRD36C	2	64	95908.81	47.891	976.81	55.65	1.162
ANKRD36	2	214	97188.772	82.793	1238.54	179.46	2.1676
NT5DC4	2	12	113199.614	7.843	1492	6.36	0.8111
CLK1	2	7	201430.395	8.48	2366.68	1.92	0.226
SH3BP4	2	13	235620.902	12.701	2664.94	6	0.4725
DAZL	3	17	16613.525	16.557	203	5.07	0.3063
CDCP1	3	14	45121.774	38.51	411.15	9.83	0.2552
EIF4E3	3	12	71832.097	20.802	621.07	6.49	0.3119
FRG2C	3	137	75797.029	2.201	654.3	0.59	0.2689
C3orf30	3	10	120350.299	5.225	882.19	1.59	0.3039
OTOL1	3	6	162700.886	7.312	1172.18	3.66	0.4999
LRRC15	3	13	195562.09	1.793	1469.88	0.43	0.2389
TMEM128	4	13	4295.344	10.082	115.89	6	0.5951
MSX1	4	7	4914.148	2.545	123.04	1.66	0.652
CYTL1	4	9	5069.864	4.245	129.75	1.28	0.3013
PSAPL1	4	11	7486.741	1.292	165.41	0.35	0.2699
UCHL1	4	10	40957.366	7.372	367.15	2.07	0.2804
UGT2A1	4	6	70547.519	0.418	575.23	0.33	0.7969
ANKRD50	4	6	125811.355	2.854	907.21	1.03	0.3609
ZNF330	4	6	142368.861	11.607	977.04	2.78	0.2394
AGA	4	7	178595.206	10.332	1221.13	3.27	0.3162
FRG1	4	150	191110.307	22.461	1354.04	86.36	3.845
TMEM171	5	8	72459.092	8.137	447.98	3.02	0.3713
ARRDC3	5	7	90706.801	7.348	572.69	3.03	0.4121
NUDT12	5	8	102918.717	8.612	641.77	5.31	0.6171
PRRC1	5	8	126902.791	29.495	806.86	8.18	0.2775
PSD2	5	12	139188.617	22.321	892.42	9.55	0.4279
GNPDA1	5	6	141367.304	9.072	912.57	3.46	0.381
ADRB2	5	10	148187.183	1.285	973.81	1.6	1.2435
FAM71B	5	7	156523.88	3.806	1068.65	1.69	0.4448
GRM6	5	7	178346.916	4.075	1198.72	3.06	0.7509
DUSP22	6	18	276.313	39.031	6.82	9.24	0.2369
EDN1	6	6	12401.567	5.349	137.18	6.6	1.2333
PNPLA1	6	13	36376.136	14.6	307.55	3.93	0.2694
YIPF3	6	9	43590.526	4.483	419.28	1.06	0.236
PRIM2	6	127	57455.984	329.735	629	229.11	0.6948
PRDM1	6	7	106652.332	18.772	968.15	6.1	0.3247
BCLAF1	6	24	136632.66	17.75	1220.69	29.63	1.6693
POM121L12	7	10	53071.219	0.707	499.57	0.77	1.0854
MUC3A	7	86	100438.836	98.67	935.82	219.83	2.228
TRIM56	7	8	100518.738	1.668	1045.94	0.41	0.2436
NAA38	7	7	117616.079	6.589	1169.14	1.67	0.254
FEZF1	7	18	121730.837	1.853	1191.64	1.07	0.579
TMEM176A	7	14	150131.602	2.812	1463.73	0.65	0.2298
GALNTL5	7	8	151314.661	38.06	1505.12	10.16	0.2669
C8orf22	8	8	50149.129	2.777	336.95	2.29	0.8229
FABP12	8	7	82602.935	6.015	570.03	2.7	0.4484
MED30	8	7	118606.269	7.551	736.01	3.06	0.4049
EPPK1	8	31	145015.787	7.155	947.29	5	0.6993
DMRT3	9	6	980.491	1.246	15.8	0.33	0.2641
DMRTA1	9	8	22439.828	4.347	203.72	2.69	0.6194
AQP7	9	42	33380.107	10.261	244.83	20.74	2.0209
PTENP1	9	7	33666.228	1.198	260.27	0.44	0.369
OR13F1	9	10	106306.748	0.849	740	0.31	0.3672
ORM1	9	13	116126.843	3.018	840.12	0.7	0.2317
OR1B1	9	15	124431.193	1.198	916.57	1.42	1.1872
OR1L6	9	10	124552.271	0.917	920.99	1.37	1.4888
CRB2	9	15	125171.318	12.358	929.06	3.21	0.2599
GPR144	9	6	126269.94	18.611	938.38	4.39	0.2357
HNRNPA3P1	10	6	43605.238	1.09	319	1.44	1.3204
C10orf35	10	15	71061.692	2.588	484.98	3.37	1.3022
SFXN3	10	9	102787.337	3.231	775.85	1.41	0.435
FRG2B	10	55	135289.573	1.659	1017.93	0.39	0.2337
MUC6	11	122	1012.948	17.922	24.27	22.75	1.2695
MUC2	11	187	1080.094	28.818	40.49	8.52	0.2958
SYT8	11	14	1814.064	2.288	55.5	0.81	0.3535
OR51A4	11	11	4924.362	0.984	112.67	0.26	0.269
OR51A2	11	17	4933.039	1.126	112.98	0.35	0.3134
CCKBR	11	8	6248.373	2.082	138.43	0.59	0.2841
ZNF214	11	9	6978.839	0.908	157.84	0.25	0.2762
SAA2	11	16	18223.94	0.675	290.84	0.16	0.2433
SLC5A12	11	33	26674.542	50.97	382.64	11.66	0.2288
OR4X1	11	11	48242.355	0.955	513.36	0.47	0.493
OR9G9	11	35	56224.876	0.839	869.85	0.31	0.3676
OR6Q1	11	7	57555.532	0.83	875.2	0.54	0.6534
OR4D9	11	8	59039.291	0.862	882.55	0.39	0.4576
MS4A6E	11	8	59861.907	5.894	886.09	2.87	0.487
GSTP1	11	8	67109.353	2.385	942.77	0.66	0.2747
FOLR3	11	10	71526.457	3.915	995.84	1.32	0.3376
HMBS	11	9	118464.695	7.612	1334.17	3.3	0.4341
MFRP	11	14	118718.855	7.332	1339.78	1.73	0.2356
SCNN1A	12	12	6340.524	26.401	101.71	7.8	0.2953
SLC2A3	12	14	7972.578	14.91	141.51	9.28	0.6222
OLR1	12	11	10204.155	1.12	185.76	1.08	0.9687
TAS2R31	12	35	11074.682	0.834	195.7	0.32	0.386
TAS2R30	12	13	11177.721	0.732	196.78	0.28	0.3886
TAS2R42	12	8	11230.084	0.407	197.13	0.37	0.9111
RERGL	12	9	18129.44	8.303	271.78	3.69	0.4442
ANKRD33	12	15	50569.81	3.246	507.23	2.17	0.6695
KRT5	12	21	51197.526	4.941	519.83	3.9	0.7893
KRT3	12	13	51473.379	5.243	528.15	3.58	0.6833
MUCL1	12	9	53536.552	3.855	558.62	4.82	1.2504
LRIG3	12	28	57576.016	46.998	588.87	11.51	0.2449
AVPR1A	12	6	61830.148	0.656	616.12	1.23	1.8674
RFC5	12	12	116945.595	13.039	1009.22	3.31	0.254
GUCY1B2	13	9	50495.102	13.335	289.84	3.06	0.2292
METTL21C	13	10	102140.519	8.576	531.12	3.14	0.3665
OR5AU1	14	9	20693.444	1.187	42.14	0.34	0.2861
MRPL52	14	6	22371.304	4.355	85.62	1.79	0.41
MMP14	14	16	22380.431	9.086	87.79	2.54	0.2796
BMP4	14	6	53487.574	2.324	275.24	3.01	1.2957
DIO2	14	6	79740.556	3.817	478.79	3.69	0.9666
SERPINA13	14	7	94178.748	2.044	620.89	1.02	0.4975
JAG2	14	8	104686.867	12.973	722.12	4.29	0.3304
IGHV7-81	14	16	106353.971	0.468	738.6	0.67	1.4281
KIAA1024	15	12	77539.027	7.263	433.6	3.67	0.5058
ST8SIA2	15	6	90783.82	10.698	524.2	3.66	0.3419
ARRDC4	15	20	96312.606	5.861	591.47	4.42	0.754
RPL3L	16	15	1938.886	8.476	16.93	2.02	0.2385
RMI2	16	7	11352.066	0.323	103.29	0.18	0.542
JMJD5	16	7	27136.424	5.634	223.33	3	0.5325
IRX6	16	12	53920.351	2.824	395.48	2.15	0.762
HYDIN	16	267	69588.989	378.783	768.28	558.9	1.4755
NUDT7	16	13	76325.049	16.738	1090.87	4.59	0.2739
HSBP1	16	6	82400.295	0.546	1173.09	0.46	0.8483
WFDC1	16	18	82902.079	32.168	1192.78	12.49	0.3882
KLHL36	16	11	83250.515	5.095	1211.3	1.6	0.3144
MVD	16	8	87250.181	3.336	1270.06	6.02	1.8032
ALOX15	17	15	4486.53	9.895	76.38	2.61	0.2638
WSCD1	17	10	5948.397	32.658	103	12.15	0.3722
SLC13A5	17	16	6543.734	27.319	123.79	6.16	0.2256
CCDC42	17	8	8581.519	14.275	151.96	4.01	0.2807
CDRT15P1	17	13	13868.726	0.576	232.78	0.14	0.2482
CCDC144NL	17	42	20724.477	30.618	299.26	23.73	0.775
MAP2K3	17	148	21148.282	20.076	393.77	154.72	7.7069
KCNJ12	17	93	21243.069	35.131	486.17	30.07	0.8559
KRT15	17	6	36925.895	4.543	623.08	1.22	0.2676
CDC27	17	106	42586.126	70.613	670.89	21.69	0.3072
MMD	17	9	50840.436	27.106	741.13	7.21	0.2662
OR4D2	17	6	53602.221	0.706	774.09	0.69	0.983
CTAGE1	18	8	18250.885	3.847	263.82	1.95	0.5073
C18orf26	18	6	50412.796	7.02	471.17	2.59	0.3682
TSHZ1	18	9	71127.666	2.654	643.03	0.73	0.2748
AZU1	19	8	781.131	1.446	15.26	0.46	0.3169
GRIN3B	19	14	957.794	4.169	19.48	0.96	0.2307
DAZAP1	19	7	1377.686	16.312	49.99	6.27	0.3842
MKNK2	19	6	1993.108	8.65	83.87	3.52	0.4065
IZUMO4	19	16	2049.498	1.757	91.79	2.46	1.3984
ZNF556	19	10	2826.86	5.074	104.25	3.21	0.6334
TMIGD2	19	15	4246.432	5.905	143.15	2.06	0.3497
MIR7-3HG	19	8	4722.101	2.723	158.2	1.33	0.4882
ZNRF4	19	11	5406.996	0.907	172.32	1.85	2.0425
FUT5	19	18	5818.121	1.273	184.98	0.34	0.2698
CD70	19	6	6539.545	4.834	202.63	1.56	0.3235
C19orf59	19	9	7649.176	1.597	242.67	1.42	0.8885
CLEC4M	19	16	7737.964	4.036	252.76	1.45	0.3581
ZNF799	19	23	12358.518	12.04	320.21	7.97	0.6619
OR1I1	19	10	15059.438	0.827	362.73	0.27	0.3258
JAK3	19	15	17806.891	16.923	426.27	4.01	0.2368
LRRC25	19	6	18363.915	0.356	442.79	0.16	0.4381
CCNE1	19	6	35003.365	6.281	578.67	1.77	0.2812
PLD3	19	7	45575.157	1.686	677.53	0.6	0.3588
KLK4	19	8	56103.232	2.497	863	0.6	0.239
KLK5	19	9	56143.352	8.95	868.58	3.69	0.4123
KLK11	19	8	56220.034	5.038	876.27	1.51	0.3006
SIGLEC14	19	8	56840.011	3.035	907.76	1.47	0.4845
FPR1	19	9	56941.525	1.006	911.27	0.6	0.6003
NLRP7	19	31	60137.795	14.303	1013.57	4.24	0.2966
ZNF444	19	7	61354.392	1.352	1037.49	1.39	1.0283
ZNF582	19	7	61590.535	6.454	1048.37	3.22	0.4986
ZNF470	19	9	61779.599	4.373	1053.85	1.24	0.2837
ZNF749	19	7	62646.817	3.767	1068.41	0.87	0.2314
ZSCAN22	19	6	63542.02	1.096	1079.17	0.77	0.6989
MAVS	20	7	3790.642	8.402	51.91	1.99	0.2368
LAMP5	20	8	9451.395	13.939	96.64	3.22	0.2311
RRBP1	20	33	17565.406	45.353	181.44	14.44	0.3185
SRSF6	20	11	41521.499	2.852	536.29	0.9	0.317
HNF4A	20	10	42479.719	23.583	554.23	5.34	0.2265
TFAP2C	20	7	54642.001	8.233	663.75	3.57	0.4339
PCK1	20	20	55572.1	4.572	683.05	1.98	0.4327
KRTAP22-1	21	6	30895.371	0.37	129.93	0.11	0.2964
CLIC6	21	8	35002.508	2.293	167.41	3	1.3089
TMPRSS3	21	22	42677.334	22.792	266.84	8.05	0.3534
KRTAP10-7	21	17	44845.571	1.232	285	0.34	0.2729
IGLL3P	22	17	24045.099	2.14	118	0.65	0.3036
NCF4	22	12	35596.809	13.884	243.23	3.19	0.23
APOBEC3A	22	8	37686.672	2.622	273.64	3	1.1442
MIOX	22	13	49273.732	2.948	426.99	0.77	0.2615
