13	32893426	32914555	BRCA2	4/28	5792	-29.433	0.007225912	99.977945009	99.988334070
5	149743805	149775958	TCOF1	4/26	3623	-22.879	0.014654961	99.899417632	99.946864883
5	149737351	149771615	TCOF1	2/26	3372	-20.935	0.019007920	99.867728092	99.928466377
16	89341571	89349410	ANKRD11	9/13	3961	-20.458	0.020197729	99.886097578	99.926405977
5	149740764	149769468	TCOF1	3/26	2929	-18.975	0.025044023	99.811749042	99.896370561
16	89337282	89349168	ANKRD11	11/13	3971	-18.933	0.025131082	99.886881111	99.923213807
5	149749159	149767638	TCOF1	7/26	2413	-16.350	0.036884071	99.684613626	99.813606304
X	154134834	154251028	F8	14/26	5449	-16.029	0.038567215	99.971038314	99.982326987
17	17584786	17714767	RAI1	3/6	7668	-15.855	0.039553886	99.974346563	99.976581082
13	32907503	32913294	BRCA2	11/28	2916	-14.773	0.047186073	99.825852629	99.901623131
5	149751794	149759258	TCOF1	8/26	1968	-14.708	0.047911566	99.498161891	99.687863835
16	2144209	2156222	PKD1	34/46	2946	-14.617	0.048579020	99.590067361	99.484754778
13	32900741	32911959	BRCA2	8/28	2850	-14.593	0.048811178	99.816479257	99.898430961
X	154091459	154251028	F8	22/26	6696	-13.989	0.054876301	99.985374058	99.990713688
X	13757135	13787472	OFD1	6/23	2907	-13.886	0.055891991	99.790303465	99.883717961
X	154124478	154159463	F8	21/26	3710	-13.681	0.058097490	99.915697698	99.950173132
X	13765058	13787472	OFD1	9/23	2486	-13.265	0.062624567	99.682756363	99.826084786
X	154065998	154251028	F8	25/26	7156	-13.040	0.065497520	99.988276031	99.991990556
X	13769486	13787231	OFD1	11/23	2003	-12.673	0.069850479	99.570391987	99.761573937
X	7137496	7272851	STS	2/10	6531	-12.166	0.076089720	99.488701460	99.693029346
22	51117836	51169280	SHANK3	8/23	3936	-11.846	0.080848955	99.559596649	99.077549992
22	51123053	51171641	SHANK3	10/23	6156	-11.801	0.081690527	99.492183827	98.936601187
X	13771558	13786303	OFD1	12/23	1772	-11.672	0.083431710	99.448944437	99.678838700
X	13776564	13787472	OFD1	16/23	1642	-11.635	0.084012105	99.201377160	99.537425579
X	2853224	2882311	ARSE	10/11	1496	-11.517	0.086043485	99.206803849	99.544274234
X	13767635	13785305	OFD1	10/23	1753	-11.023	0.095010581	99.439484006	99.669523368
5	149756174	149778611	TCOF1	15/26	2149	-10.881	0.098115691	99.610845484	99.734933829
X	7171372	7270612	STS	3/10	3924	-10.629	0.101888255	99.360347215	99.592853254
16	89334037	89347297	ANKRD11	12/13	3193	-10.520	0.103745518	99.313567418	99.317688219
2	121736157	121749139	GLI2	11/14	4138	-10.280	0.108736911	99.787691690	99.810443154
X	30322910	30327715	NR0B1	1/2	1435	-9.923	0.116427138	98.656096522	98.208264121
X	2856265	2882311	ARSE	8/11	1235	-9.916	0.116514197	98.925486632	99.351031883
16	2150564	2156204	PKD1	25/46	1819	-9.910	0.116775375	99.065332688	98.999835168
X	2854885	2876447	ARSE	9/11	1264	-9.906	0.116891453	99.019278384	99.402803073
X	7175587	7268724	STS	5/10	1826	-9.700	0.121157353	99.184313562	99.462786845
X	13773354	13781943	OFD1	13/23	1362	-9.655	0.122027945	99.121224679	99.457766433
2	121732682	121748195	GLI2	10/14	3346	-9.432	0.126671101	99.797761534	99.815666705
22	51137225	51171205	SHANK3	14/23	5066	-9.390	0.127425614	99.333416910	98.751571418
2	121549984	121748335	GLI2	2/14	4919	-9.355	0.128267186	99.944078989	99.949882934
2	121685040	121750229	GLI2	4/14	6499	-9.154	0.132736223	99.930904034	99.937955827
13	32921026	32973805	BRCA2	14/28	3773	-9.001	0.137234281	99.884153257	99.926841273
2	121555037	121750229	GLI2	3/14	6611	-8.940	0.138424090	99.936040525	99.943208398
X	2861237	2882311	ARSE	7/11	1069	-8.682	0.145911179	98.688598614	99.169310364
2	121709014	121747755	GLI2	5/14	3826	-8.563	0.149103349	99.872023011	99.880409712
7	73442590	73484237	ELN	2/33	3342	-8.507	0.150786493	99.622830630	99.756756663
7	73452048	73484237	ELN	5/33	3237	-8.238	0.158999075	99.579097904	99.724428689
5	149767648	149778611	TCOF1	19/26	1433	-8.165	0.161204574	99.140638875	99.343776952
5	149759289	149778611	TCOF1	18/26	1624	-7.936	0.168198328	99.312435649	99.472015118
X	41307159	41334963	NYX	2/2	2242	-7.929	0.168604604	97.903498966	96.327814942
20	30956924	31027122	ASXL1	5/13	6367	-7.903	0.169359117	99.950318230	99.964276718
X	2864156	2882311	ARSE	6/11	947	-7.858	0.171042261	98.483806413	98.993363769
16	2162953	2166063	PKD1	11/46	1223	-7.830	0.172232070	97.809446037	97.476938024
13	32903615	32910599	BRCA2	9/28	1444	-7.708	0.177049344	99.198533227	99.454835441
22	51144567	51171641	SHANK3	20/23	5006	-7.557	0.181779559	98.984048437	98.319583787
2	121729634	121747527	GLI2	9/14	2867	-7.540	0.182388973	99.679012819	99.691114044
16	2147983	2153750	PKD1	30/46	1754	-7.255	0.194461179	98.912050499	98.712684986
20	30946154	31027122	ASXL1	2/13	7044	-7.238	0.194954514	99.956470412	99.968513598
22	51115116	51153376	SHANK3	4/23	1898	-7.176	0.197392171	98.993479848	98.434066604
20	50401213	50419059	SALL4	3/4	2868	-7.103	0.200874538	99.810501194	99.870572025
5	149769575	149778611	TCOF1	20/26	1303	-7.057	0.202789840	99.002272825	99.199432838
13	32905157	32910526	BRCA2	10/28	1254	-6.870	0.211727916	99.002563022	99.301292074
7	73466294	73481090	ELN	18/33	1201	-6.660	0.223190707	98.861411078	99.209270525
22	51154156	51171348	SHANK3	22/23	4482	-6.643	0.224032279	98.818113648	98.166911013
X	7177811	7272851	STS	6/10	5488	-6.613	0.225512285	98.579977782	98.917622286
X	154133290	154158087	F8	15/26	1407	-6.572	0.227920922	99.177784123	99.443749906
X	8504967	8700227	KAL1	10/14	1626	-6.514	0.231432309	99.054189113	99.169774679
X	8501075	8555847	KAL1	13/14	1300	-6.477	0.233492710	99.042465144	99.298332062
22	51133459	51159731	SHANK3	11/23	2244	-6.349	0.240747641	98.568485971	98.104344485
13	32932056	32973805	BRCA2	17/28	2975	-6.271	0.245448836	99.752984098	99.835893453
13	32937661	32973805	BRCA2	19/28	2446	-6.140	0.252442590	99.572684545	99.708322741
13	32945230	32973805	BRCA2	21/28	2141	-6.123	0.253400241	99.405153671	99.588035980
16	2156860	2159035	PKD1	16/46	1025	-5.997	0.261409685	97.807704853	96.732785209
16	2154642	2156547	PKD1	21/46	682	-5.929	0.265385388	97.680743555	97.310567939
5	149747474	149754272	TCOF1	5/26	810	-5.895	0.267329709	98.132000283	98.439057997
X	8507783	8700227	KAL1	9/14	1530	-5.857	0.269535208	98.940983165	99.038692580
12	49428708	49433535	KMT2D	34/54	2229	-5.839	0.270783057	99.391195183	99.017276023
